"RVW01","RVW02","RVW03","RVW04","RVW05","RVW05F","RVW06","RVW06F","RVW07","RVW08","RVW09","RVW10","RVW11","RVW12","RVW13","RVW14","RVW15","RVW16","RVW17","RVWLEGAL","RVW99"
"0361455","2018/5/24","S161","16.0000","12663.790000","12663.790000","2026.210000","2026.210000","","3418-1804280001","1","2.000","CNY","1.0000000000","","","","","6331.896552","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","7052.590000","7052.590000","1128.410000","1128.410000","","3418-1804280001","2","3.000","CNY","1.0000000000","","","","","2350.862069","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","7052.590000","7052.590000","1128.410000","1128.410000","","3418-1804280001","3","3.000","CNY","1.0000000000","","","","","2350.862069","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","436.210000","436.210000","69.790000","69.790000","","3418-1804280001","4","1.000","CNY","1.0000000000","","","","","436.206897","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","4333.620000","4333.620000","693.380000","693.380000","","3418-1804280001","5","1.000","CNY","1.0000000000","","","","","4333.620690","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","972.410000","972.410000","155.590000","155.590000","","3418-1804280001","6","4.000","CNY","1.0000000000","","","","","243.103448","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","393.100000","393.100000","62.900000","62.900000","","3418-1804280001","7","1.000","CNY","1.0000000000","","","","","393.103448","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","420.690000","420.690000","67.310000","67.310000","","3418-1804280001","8","2.000","CNY","1.0000000000","","","","","210.344828","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","486.210000","486.210000","77.790000","77.790000","","3418-1804280001","9","1.000","CNY","1.0000000000","","","","","486.206897","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","455.170000","455.170000","72.830000","72.830000","","3418-1804280001","10","1.000","CNY","1.0000000000","","","","","455.172414","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","2187.930000","2187.930000","350.070000","350.070000","","3418-1804280001","11","9.000","CNY","1.0000000000","","","","","243.103448","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","972.410000","972.410000","155.590000","155.590000","","3418-1804280001","12","2.000","CNY","1.0000000000","","","","","486.206897","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","2731.030000","2731.030000","436.970000","436.970000","","3418-1804280001","13","6.000","CNY","1.0000000000","","","","","455.172414","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","3646.550000","3646.550000","583.450000","583.450000","","3418-1804280001","14","6.000","CNY","1.0000000000","","","","","607.758621","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","4717.240000","4717.240000","754.760000","754.760000","","3418-1804280001","15","288.000","CNY","1.0000000000","","","","","16.379310","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","4717.240000","4717.240000","754.760000","754.760000","","3418-1804280001","16","288.000","CNY","1.0000000000","","","","","16.379310","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","425.860000","425.860000","68.140000","68.140000","","3418-1804280001","17","1.000","CNY","1.0000000000","","","","","425.862069","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","760.340000","760.340000","121.660000","121.660000","","3418-1804280001","18","1.000","CNY","1.0000000000","","","","","760.344828","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","1999.140000","1999.140000","319.860000","319.860000","","3418-1804280001","19","1.000","CNY","1.0000000000","","","","","1999.137931","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","1999.140000","1999.140000","319.860000","319.860000","","3418-1804280001","20","1.000","CNY","1.0000000000","","","","","1999.137931","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","978.450000","978.450000","156.550000","156.550000","","3418-1804280002","1","1.000","CNY","1.0000000000","","","","","978.448276","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","11629.310000","11629.310000","1860.690000","1860.690000","","3418-1804280002","2","710.000","CNY","1.0000000000","","","","","16.379310","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","9827.590000","9827.590000","1572.410000","1572.410000","","3418-1804280002","3","600.000","CNY","1.0000000000","","","","","16.379310","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","3103.450000","3103.450000","496.550000","496.550000","","3418-1804280002","4","200.000","CNY","1.0000000000","","","","","15.517241","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","3103.450000","3103.450000","496.550000","496.550000","","3418-1804280002","5","200.000","CNY","1.0000000000","","","","","15.517241","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","1818.100000","1818.100000","290.900000","290.900000","","3418-1804280002","6","111.000","CNY","1.0000000000","","","","","16.379310","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","1818.100000","1818.100000","290.900000","290.900000","","3418-1804280002","7","111.000","CNY","1.0000000000","","","","","16.379310","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","62.070000","62.070000","9.930000","9.930000","","3418-1804280002","8","4.000","CNY","1.0000000000","","","","","15.517241","YLD001","YLD001"
"0361455","2018/5/24","S161","16.0000","62.070000","62.070000","9.930000","9.930000","","3418-1804280002","9","4.000","CNY","1.0000000000","","","","","15.517241","YLD001","YLD001"
