"XCKB005","XCKB012","IMA01","IMA02","NUM","XCKB007","XCKB008","A"
"601-XMD1-170300004","810017","810017","T5A主箱体;Z1701P4S18216","708.000","2017","3","-56"
"601-XMD1-170300004","810057","810057","T5A后箱体;1721P4S18561","768.000","2017","3","-113"
"601-XMD1-170300004","810060","810060","T5A离合器壳体;1601P4S18101","822.000","2017","3","-39"
"601-XMD1-170500006","810017","810017","T5A主箱体;Z1701P4S18216","708.000","2017","5","-47"
"601-XMD1-170500002","810019","810019","克诺尔阀体;C82961","312.000","2017","5","-5"
"601-XMD1-170500011","810019","810019","克诺尔阀体;C82961","312.000","2017","5","-13"
"601-XMD1-170500002","810020","810020","机体;KN SOB89078","500.000","2017","5","-22"
"601-XMD1-170500011","810020","810020","机体;KN SOB89078","500.000","2017","5","-14"
"601-XMD1-170500002","810021","810021","机体盖;KN SB89063","622.000","2017","5","-4"
"601-XMD1-170500011","810021","810021","机体盖;KN SB89063","622.000","2017","5","-8"
"601-XMD1-170500002","810022","810022","蜗牛壳;KN SB90690","242.000","2017","5","-3"
"601-XMD1-170500011","810022","810022","蜗牛壳;KN SB90690","242.000","2017","5","-24"
"601-XMD1-170500002","810023","810023","花篮;KN SB90692","149.000","2017","5","-5"
"601-XMD1-170500011","810023","810023","花篮;KN SB90692","149.000","2017","5","-2"
"601-XMD1-170500002","810024","810024","连接座;KN RC66218","0.000","2017","5","-4"
"601-XMD1-170500011","810024","810024","连接座;KN RC66218","0.000","2017","5","-3"
"601-XMD1-170500007","810034","810034","主箱体;1310 201 037","412.000","2017","5","-1"
"601-XMD1-170500001","810046","810046","615压缩机缸体;0.0472-00615.0","624.000","2017","5","-70"
"601-XMD1-170500001","810046","810046","615压缩机缸体;0.0472-00615.0","0.000","2017","5","-70"
"601-XMD1-170500006","810060","810060","T5A离合器壳体;1601P4S18101","822.000","2017","5","-34"
